COURSE_IDNUMBER,USER_USERNAME,USER_COMPLETED,USER_SCORE
https://xapi.percipio.com/xapi/book/19239d9a-b0a8-4a4f-ae76-d5721db3b92e,psateamadmin,0,
https://xapi.percipio.com/xapi/course/23da95d4-b1e2-46c7-a189-c9437f33de5c,psateamadmin,0,
https://xapi.percipio.com/xapi/channel/c15bd4e9-ad3c-4e98-9427-15c7695b3d1a,psateamadmin,1,
https://xapi.percipio.com/xapi/book/24b1c0a7-6659-4a13-a7ac-28d95896ed4c,psateamadmin,1,
https://xapi.percipio.com/xapi/channel/16c5287a-3420-4b47-a5c3-0ddb75f17209,psateamadmin,1,
https://xapi.percipio.com/xapi/lc/c477094e-2fdd-494b-92de-d9a94f1e23da,psateamadmin,1,
https://xapi.percipio.com/xapi/channel/01f6d56c-ca53-4dd5-8b32-8eca87c55e15,psateamadmin,1,
https://xapi.percipio.com/xapi/lc/d0928bd1-5de5-407d-9a1a-ef9a40c19f2a,psateamadmin,1,
https://xapi.percipio.com/xapi/lc/163f5db4-4017-4155-8441-95c6155f3420,psateamadmin,1,
https://xapi.percipio.com/xapi/lc/73ba3bcd-5051-4825-9165-895c87ee20fc,psateamadmin,1,
https://xapi.percipio.com/xapi/lc/93799e91-a07c-4540-9934-ef4bab8bb3ff,psateamadmin,1,
https://xapi.percipio.com/xapi/book/0e11772a-1787-4cc9-b97b-6e1518204f64,psateamadmin,0,
https://xapi.percipio.com/xapi/channel/b4cfd2e0-3bf3-11e7-9f4b-31846c93960b,psateamadmin,1,
https://xapi.percipio.com/xapi/course/b014a569-9ee2-4a4d-9761-4d9d14ec1b79,psateamadmin,1,
https://xapi.percipio.com/xapi/video/cdf29539-9746-40b0-8402-f8201e5979c8,psateamadmin,1,
https://xapi.percipio.com/xapi/channel/caf03316-57af-4515-b21e-37321ed3ba87,psateamadmin,1,
https://xapi.percipio.com/xapi/channel/f9f72be0-41f5-4e90-bf2b-586f1ec0c324,psateamadmin,1,
https://xapi.percipio.com/xapi/channel/17913de0-df49-11e6-93f3-0242c0a80605,psateamadmin,1,
https://xapi.percipio.com/xapi/book/05351c9e-557e-414f-afde-3cc7dca34d69,psateamadmin,1,
https://xapi.percipio.com/xapi/course/1e3ceebf-2262-4c6d-ae35-9f0c7a287539,psateamadmin,1,67
https://xapi.percipio.com/xapi/channel/ed7c4ac0-e247-11e6-91a7-0242c0a80704,psateamadmin,1,
https://xapi.percipio.com/xapi/book/dc4b00cd-8db6-4a30-84ab-9d44dac461c6,psateamadmin,1,
https://xapi.percipio.com/xapi/book/79fa9dbb-e83d-42d2-a6b7-b9c071fd5783,psateamadmin,1,
https://xapi.percipio.com/xapi/book/38568080-c553-11e7-9233-92959924aa1c,psateamadmin,1,
https://xapi.percipio.com/xapi/book/530bcdd5-e9da-42ad-9a2d-fb1b39d33ac1,psateamadmin,1,
https://xapi.percipio.com/xapi/book/fd1a4cc0-6785-11e7-b336-72eab6a8b39c,psateamadmin,1,
https://xapi.percipio.com/xapi/course/9637f8d0-e624-4414-a5b1-36b345c6261b,psateamadmin,0,
https://xapi.percipio.com/xapi/book/ec0f68aa-d3b8-4f32-acfa-0ce645bf7d85,student3,1,
https://xapi.percipio.com/xapi/book/ef83fdb0-c4bc-11e7-9233-92959924aa1c,student3,1,
https://xapi.percipio.com/xapi/book/fd1a4cc0-6785-11e7-b336-72eab6a8b39c,student3,1,
